Location,Local,Latitude,Longitude,Media 01,URL 01,Lang 01,Media 02,URL 02,Lang 02,Media 03,URL 03,Lang 03,Media 04,URL 04,Lang 04,Media 05,URL 05,Lang 05,Media 06,URL 06,Lang 06,Media 07,URL 07,Lang 07,Media 08,URL 08,Lang 08,Media 09,URL 09,Lang 09,Media 10,URL 10,Lang 10,Media 11,URL 11,Lang 11,Media 12,URL 12,Lang 12,Media 13,URL 13,Lang 13,Media 14,URL 14,Lang 14,Media 15,URL 15,Lang 15
Afghanistan,0,33.93911,67.709953,Daily Outlook Afghanistan,http://www.outlookafghanistan.net,EN,Afghanistan Times,http://www.afghanistantimes.af,EN,Khaama Press,http://www.khaama.com,EN,Killid,http://www.tkg.af/english,EN,KabulPress,http://kabulpress.org/my/spip.php?rubrique60,EN,Radio Free Europe / Radio Liberty,http://www.rferl.org/Afghanistan,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,0,41.053332,19.868331,Balkan Insight,http://balkaninsight.com/albania-home/,EN,Independent Balkan News Agency,http://balkaneu.com//c/albania/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,0,28.94130412,1.631749063,El Watan,http://www.elwatan.com,FR,Tout sur l’Algérie,http://www.tsa-algerie.com,FR,Liberté,http://www.liberte-algerie.com,FR,Le Soir d’Algérie,http://www.lesoirdalgerie.com,FR,Maghreb émergent,http://maghrebemergent.info,FR,Al-Chourouk,http://www.echoroukonline.com/en/,EN,Al-Chourouk,http://www.echoroukonline.com/fr/,FR,Le Jeune Indépendant,http://www.jeune-independant.net,FR,L'Expression,http://www.lexpressiondz.com,FR,AllAfrica,http://allafrica.com/algeria/,EN,Algérie Part,http://algeriepartplus.com,FR,Les Débats,http://www.lesdebats.com,FR,Le Matin d’Algérie,http://www.lematindalgerie.com,FR,El Moudjahid,http://www.elmoudjahid.com/en,EN – gov,El Moudjahid,http://www.elmoudjahid.com/fr,FR – gouv
Angola,0,-11.202692,17.873887,AllAfrica,http://allafrica.com/angola/,EN,Maka Angola,http://www.makaangola.org/en/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,0,-38.416097,-63.616672,Buenos Aires Times,http://www.batimes.com.ar,EN,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14093,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenia,0,40.069099,45.138189,Vestnik Kavkaza,http://vestnikkavkaza.net,EN,Radio Free Europe / Radio Liberty,http://www.rferl.org/p/5490.html,EN,Armenpress,https://armenpress.am/eng/,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,0,-25.274398,133.775136,SBS News,http://www.sbs.com.au/news/,EN,The Guardian Australia,http://www.theguardian.com/australia-news,EN,The Australian Financial Review,http://www.afr.com,EN,ABC News,http://www.abc.net.au/news/,EN,News.com.au,http://www.news.com.au,EN,7News,http://7news.com.au,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0,47.516231,14.550072,The Local Austria,http://www.thelocal.at,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,0,40.143105,47.576927,Vestnik Kavkaza,http://vestnikkavkaza.net,EN,Radio Free Europe / Radio Liberty,http://www.rferl.org/Azerbaijan,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balkans,0,44.21371,19.248047,Radio Free Europe / Radio Liberty,http://www.rferl.org/Balkans,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0,23.684994,90.356331,The Dhaka Courier,http://www.dhakacourier.com.bd,EN,The New Age,http://www.newagebd.net,EN,The Daily Star,http://www.thedailystar.net,EN,Dhaka Tribune,http://www.dhakatribune.com,EN,bdnews24.com,http://bdnews24.com,EN,The Financial Express Bangladesh,http://www.thefinancialexpress-bd.com/,EN,Bangla Tribune,http://en.banglatribune.com,EN,Weekly Blitz,http://www.weeklyblitz.net,EN,,,,,,,,,,,,,,,,,,,,,
Belarus,0,53.709807,27.953389,Radio Free Europe / Radio Liberty,http://www.rferl.org/Belarus,EN,Belta,https://eng.belta.by,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgium,0,50.503887,4.469936,Le Soir,http://www.lesoir.be,FR,RTBF,http://www.rtbf.be/info,FR,L'Écho,https://www.lecho.be,FR,La Libre Belgique,https://www.lalibre.be,FR,Le Vif,https://www.levif.be,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,0,9.30769,2.315834,Benin Web TV,http://beninwebtv.com,FR,Le Matinal,http://actubenin.com/?-ACTU-Afrique-,FR,La Nouvelle Tribune,https://lanouvelletribune.info,FR,AllAfrica,http://allafrica.com/benin/,EN,AllAfrica,http://fr.allafrica.com/benin/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,0,27.549511,90.5119273,Kuensel,https://kuenselonline.com,EN – gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,0,-16.290154,-63.588653,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14919,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borneo,0,1.068237,114.233536,The Borneo Post,http://www.theborneopost.com/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia-Herzegovina,0,43.915886,17.679076,Balkan Insight,http://balkaninsight.com/bosnia-and-herzegovina-home/,EN,Independent Balkan News Agency,http://balkaneu.com//c/bosnia-herzegovina/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston (United States),1,42.358431,-71.059773,The Boston Globe,http://boston.com,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0,-22.328474,24.684866,Mmegi / The Reporter,https://www.mmegi.bw,EN,AllAfrica,http://allafrica.com/botswana/,EN,AllAfrica,http://fr.allafrica.com/botswana/,FR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brazil,0,-14.235004,-51.92528,Folha de S.Paulo,https://www1.folha.uol.com.br/internacional/en/,EN,The Rio Times,http://riotimesonline.com,EN,The Brazilian Report,https://brazilian.report,EN,Latin American Herald Tribune,http://www.laht.com/content.asp?CategoryId=14090,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,0,42.733883,25.48583,Balkan Insight,http://balkaninsight.com/bulgaria-home/,EN,Bulgarian News Agency,http://www.bta.bg/en,EN,Independent Balkan News Agency,http://balkaneu.com//c/bulgaria/,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
